Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,Home State,OPEN,Gender-Neutral,34216,34216
Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,Home State,OPEN,Female-only,48917,48917
Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,Home State,OBC-NCL,Gender-Neutral,42239,43059
Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,Home State,OBC-NCL,Female-only,64611,64611
Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,All India,OPEN,Gender-Neutral,33757,33866
Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,All India,OBC-NCL,Gender-Neutral,40271,40271
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,8834,8834
Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering,Home State,OPEN,Gender-Neutral,12018,12018
Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering,Home State,OPEN,Female-only,19937,19937
Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering,Home State,EWS,Gender-Neutral,15376,15376
Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering,All India,EWS,Gender-Neutral,18471,18471
Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering,All India,SC,Female-only,153388,153388
Motilal Nehru National Institute of Technology Allahabad,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,10568,10568
Motilal Nehru National Institute of Technology Allahabad,Engineering and Computational Mechanics,Home State,OPEN,Female-only,28741,28741
Motilal Nehru National Institute of Technology Allahabad,Engineering and Computational Mechanics,All India,OPEN,Gender-Neutral,19966,19966
Motilal Nehru National Institute of Technology Allahabad,Engineering and Computational Mechanics,All India,SC,Gender-Neutral,106269,106269
Motilal Nehru National Institute of Technology Allahabad,Materials Engineering,Home State,OBC-NCL,Gender-Neutral,51857,51857
Motilal Nehru National Institute of Technology Allahabad,Materials Engineering,All India,OPEN,Gender-Neutral,40133,40133
Motilal Nehru National Institute of Technology Allahabad,Materials Engineering,All India,OBC-NCL,Gender-Neutral,50359,52428
Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,Home State,EWS,Gender-Neutral,29390,29390
Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,Home State,OBC-NCL,Gender-Neutral,30484,30679
Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,All India,OPEN,Gender-Neutral,25583,26234
Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,All India,OPEN,Female-only,37882,37882
Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,All India,EWS,Gender-Neutral,29703,29709
Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,All India,EWS,Female-only,42033,42033
Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,All India,OBC-NCL,Gender-Neutral,30659,30918
Motilal Nehru National Institute of Technology Allahabad,Production and Industrial Engineering,Home State,OBC-NCL,Gender-Neutral,47909,47909
Motilal Nehru National Institute of Technology Allahabad,Production and Industrial Engineering,All India,OBC-NCL,Gender-Neutral,54750,54750
National Institute of Technology Andhra Pradesh,Bio Technology,Home State,OPEN,Gender-Neutral,91866,93928
National Institute of Technology Andhra Pradesh,Bio Technology,Home State,EWS,Gender-Neutral,95375,95375
National Institute of Technology Andhra Pradesh,Bio Technology,Home State,OBC-NCL,Gender-Neutral,99151,107058
National Institute of Technology Andhra Pradesh,Bio Technology,Home State,OBC-NCL,Female-only,119360,119360
National Institute of Technology Andhra Pradesh,Bio Technology,All India,OPEN,Gender-Neutral,89817,91366
National Institute of Technology Andhra Pradesh,Bio Technology,All India,EWS,Gender-Neutral,92383,92383
National Institute of Technology Andhra Pradesh,Bio Technology,All India,EWS,Female-only,134138,134138
National Institute of Technology Andhra Pradesh,Bio Technology,All India,OBC-NCL,Gender-Neutral,91765,100661
National Institute of Technology Andhra Pradesh,Bio Technology,All India,OBC-NCL,Female-only,136882,136882
National Institute of Technology Andhra Pradesh,Chemical Engineering,Home State,OBC-NCL,Gender-Neutral,71692,82164
National Institute of Technology Andhra Pradesh,Chemical Engineering,Home State,OBC-NCL,Female-only,101679,101679
National Institute of Technology Andhra Pradesh,Chemical Engineering,Home State,SC,Gender-Neutral,215968,215968
National Institute of Technology Andhra Pradesh,Chemical Engineering,All India,OPEN,Gender-Neutral,59560,59560
National Institute of Technology Andhra Pradesh,Chemical Engineering,All India,EWS,Gender-Neutral,73276,73276
National Institute of Technology Andhra Pradesh,Chemical Engineering,All India,EWS,Female-only,135271,135271
National Institute of Technology Andhra Pradesh,Chemical Engineering,All India,OBC-NCL,Gender-Neutral,68749,69612
National Institute of Technology Andhra Pradesh,Chemical Engineering,All India,OBC-NCL,Female-only,133935,133935
National Institute of Technology Andhra Pradesh,Civil Engineering,Home State,OPEN,Gender-Neutral,70989,73140
National Institute of Technology Andhra Pradesh,Civil Engineering,Home State,EWS,Gender-Neutral,74742,77132
National Institute of Technology Andhra Pradesh,Civil Engineering,Home State,OBC-NCL,Gender-Neutral,84188,84704
National Institute of Technology Andhra Pradesh,Civil Engineering,All India,OPEN,Gender-Neutral,69644,76167
National Institute of Technology Andhra Pradesh,Civil Engineering,All India,OPEN,Female-only,102513,102513
National Institute of Technology Andhra Pradesh,Civil Engineering,All India,EWS,Gender-Neutral,76203,80151
National Institute of Technology Andhra Pradesh,Civil Engineering,All India,OBC-NCL,Gender-Neutral,79011,81169
National Institute of Technology Andhra Pradesh,Civil Engineering,All India,OBC-NCL,Female-only,138765,138765
National Institute of Technology Andhra Pradesh,Computer Science and Engineering,All India,EWS,Gender-Neutral,30370,30684
National Institute of Technology Andhra Pradesh,Computer Science and Engineering,All India,EWS,Female-only,51158,51158
National Institute of Technology Andhra Pradesh,Electrical and Electronics Engineering,Home State,OPEN,Gender-Neutral,42006,42006
National Institute of Technology Andhra Pradesh,Electrical and Electronics Engineering,Home State,OBC-NCL,Gender-Neutral,53454,55966
National Institute of Technology Andhra Pradesh,Electrical and Electronics Engineering,All India,OPEN,Gender-Neutral,40657,43089
National Institute of Technology Andhra Pradesh,Electrical and Electronics Engineering,All India,OPEN,Female-only,61534,64454
National Institute of Technology Andhra Pradesh,Electrical and Electronics Engineering,All India,EWS,Gender-Neutral,49614,49614
National Institute of Technology Andhra Pradesh,Electrical and Electronics Engineering,All India,EWS,Female-only,79663,79663
National Institute of Technology Andhra Pradesh,Electrical and Electronics Engineering,All India,OBC-NCL,Gender-Neutral,49847,51887
National Institute of Technology Andhra Pradesh,Electrical and Electronics Engineering,All India,SC,Gender-Neutral,147486,147486
National Institute of Technology Andhra Pradesh,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,30034,30034
National Institute of Technology Andhra Pradesh,Electronics and Communication Engineering,All India,OPEN,Female-only,54564,54564
National Institute of Technology Andhra Pradesh,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,38514,38514
National Institute of Technology Andhra Pradesh,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,39929,40587
National Institute of Technology Andhra Pradesh,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,64059,64059
National Institute of Technology Andhra Pradesh,Electronics and Communication Engineering,All India,SC,Gender-Neutral,131262,131262
National Institute of Technology Andhra Pradesh,Electronics and Communication Engineering,All India,SC,Female-only,172296,172296
National Institute of Technology Andhra Pradesh,Mechanical Engineering,Home State,OPEN,Gender-Neutral,49732,49732
