College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,PWD OPEN,Gender-Neutral,1308,1308
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,EWS,Gender-Neutral,2642,2842
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,EWS,Female-only,4915,4915
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,OBC-NCL,Gender-Neutral,5156,7080
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,OBC-NCL,Female-only,9455,12497
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,PWD OBC-NCL,Gender-Neutral,547,547
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,SC,Gender-Neutral,2976,3551
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,SC,Female-only,5064,7041
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,ST,Gender-Neutral,908,1051
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,ST,Female-only,1731,1731
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,OPEN,Gender-Neutral,8906,17685
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,OPEN,Female-only,24365,31262
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,PWD OPEN,Gender-Neutral,1006,1006
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,EWS,Gender-Neutral,2547,2750
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,EWS,Female-only,5284,5284
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,PWD EWS,Gender-Neutral,256,256
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,OBC-NCL,Gender-Neutral,5097,6869
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,OBC-NCL,Female-only,8737,14204
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,SC,Gender-Neutral,2772,3683
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,SC,Female-only,5300,5300
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,PWD SC,Gender-Neutral,306,306
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,ST,Gender-Neutral,1539,1578
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Other State,ST,Female-only,2777,2777
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,OPEN,Gender-Neutral,28260,33350
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,OPEN,Female-only,36660,41140
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,PWD OPEN,Gender-Neutral,2483,2483
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,EWS,Gender-Neutral,4601,4943
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,EWS,Female-only,6434,6434
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,OBC-NCL,Gender-Neutral,9488,11163
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,OBC-NCL,Female-only,13575,17339
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,SC,Gender-Neutral,5499,5811
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,PWD SC,Female-only,166,166
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,ST,Gender-Neutral,1795,1795
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,ST,Female-only,2904,2904
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Home State,PWD ST,Gender-Neutral,71,71
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,OPEN,Gender-Neutral,21537,32875
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,OPEN,Female-only,36630,40266
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,PWD OPEN,Gender-Neutral,1277,1277
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,EWS,Gender-Neutral,4780,4796
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,EWS,Female-only,6695,6695
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,OBC-NCL,Gender-Neutral,10079,11818
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,OBC-NCL,Female-only,15399,16189
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,PWD OBC-NCL,Female-only,1216,1216
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,SC,Gender-Neutral,4793,6019
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,SC,Female-only,8473,8473
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,ST,Gender-Neutral,2488,2550
Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,Other State,ST,Female-only,3961,3961
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OPEN,Gender-Neutral,58313,6
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OPEN,Female-only,53084,53648
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,EWS,Gender-Neutral,10180,10180
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,EWS,Female-only,16293,16293
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OBC-NCL,Gender-Neutral,33291,52241
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OBC-NCL,Female-only,52894,56151
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,SC,Gender-Neutral,8799,11090
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,ST,Gender-Neutral,15566,15566
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OPEN,Gender-Neutral,29026,41817
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OPEN,Female-only,41691,43186
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,EWS,Gender-Neutral,6114,6634
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OBC-NCL,Gender-Neutral,12903,13478
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OBC-NCL,Female-only,16439,17214
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,SC,Gender-Neutral,3375,4841
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,SC,Female-only,8402,8402
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,ST,Gender-Neutral,2916,3006
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OPEN,Gender-Neutral,28297,49650
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OPEN,Female-only,46216,54809
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,EWS,Gender-Neutral,7738,8740
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,EWS,Female-only,9600,9600
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OBC-NCL,Gender-Neutral,24307,42794
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OBC-NCL,Female-only,37359,39672
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,SC,Gender-Neutral,7638,9501
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,SC,Female-only,7401,7401
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,PWD SC,Gender-Neutral,126,126
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,ST,Gender-Neutral,24165,43332
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,OPEN,Gender-Neutral,21827,33644
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,OPEN,Female-only,39063,41891
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,PWD OPEN,Gender-Neutral,1897,1897
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,EWS,Gender-Neutral,4867,4972
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,EWS,Female-only,6450,6450
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,OBC-NCL,Gender-Neutral,9743,10647
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,OBC-NCL,Female-only,16014,16580
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,SC,Gender-Neutral,4007,5276
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,SC,Female-only,7234,7234
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,ST,Gender-Neutral,2120,2306
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,OPEN,Gender-Neutral,34303,52004
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,OPEN,Female-only,54402,58821
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,PWD OPEN,Gender-Neutral,2711,2711
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,EWS,Gender-Neutral,7482,9381
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,EWS,Female-only,9178,9178
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,OBC-NCL,Gender-Neutral,32011,39530
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,OBC-NCL,Female-only,43683,44470
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,SC,Gender-Neutral,7618,9466
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,SC,Female-only,11172,11172
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,ST,Gender-Neutral,17734,32136
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,ST,Female-only,16264,16264
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,OPEN,Gender-Neutral,25507,37500
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,OPEN,Female-only,42935,46913
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,PWD OPEN,Gender-Neutral,1098,1098
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,EWS,Gender-Neutral,5471,5521
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,EWS,Female-only,7111,7111
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,OBC-NCL,Gender-Neutral,10996,12040
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,OBC-NCL,Female-only,18176,18509
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,SC,Gender-Neutral,4775,5637
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,SC,Female-only,1933,1933
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,ST,Gender-Neutral,670,1255
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,ST,Female-only,3134,3134
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,OPEN,Gender-Neutral,6821,14502
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,OPEN,Female-only,11180,18113
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,PWD OPEN,Female-only,686,686
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,EWS,Gender-Neutral,1952,2912
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,EWS,Female-only,2865,3397
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,OBC-NCL,Gender-Neutral,3960,7779
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,OBC-NCL,Female-only,4979,10562
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,SC,Gender-Neutral,967,3299
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,SC,Female-only,3449,3812
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,ST,Gender-Neutral,776,3754
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,ST,Female-only,9914,9914
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OPEN,Gender-Neutral,1818,10073
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OPEN,Female-only,13426,18149
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,PWD OPEN,Gender-Neutral,241,241
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,EWS,Gender-Neutral,1341,1463
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,EWS,Female-only,2555,2555
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OBC-NCL,Gender-Neutral,2600,3642
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OBC-NCL,Female-only,4915,6862
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,PWD OBC-NCL,Female-only,364,364
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,SC,Gender-Neutral,971,1916
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,SC,Female-only,2514,3707
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,PWD SC,Gender-Neutral,104,104
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,ST,Gender-Neutral,513,877
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,ST,Female-only,1357,1357
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,PWD ST,Gender-Neutral,32,32
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,OPEN,Gender-Neutral,14668,18820
